from_id,to_id,rel_type,prop_motivo
"William Shockley","Transistor de Junção","FEZ","Contribuiu para teoria e engenharia de junção, acelerando adoção industrial do transistor."
"Mohamed Atalla","MOSFET","FEZ","Passivação de superfície viabilizou dispositivos MOS estáveis e fabricáveis."
"Dawon Kahng","MOSFET","FEZ","Co-inventou o transistor MOS, base dominante da microeletrônica moderna."
"Transistor de Junção","MOSFET","EVOLUI_PARA","MOS permitiu maior densidade, menor consumo e fabricação escalável."
"Jean Hoerni","Processo Planar em Silício","FEZ","Introduziu passivação e fabricação planar, elevando rendimento e confiabilidade de dispositivos."
"Processo Planar em Silício","Circuito Integrado","VIABILIZA","Permitiu fabricação repetível e interconexão em escala, mitigando a tirania dos números."
"Jack Kilby","Circuito Integrado","FEZ","Demonstrou integração inicial de componentes eletrônicos em um único substrato."
"Robert Noyce","Circuito Integrado","FEZ","Consolidou integração monolítica com interconexões adequadas à produção em escala."
"Transistor de Junção","Circuito Integrado","EVOLUI_PARA","A miniaturização por semicondutores levou da montagem discreta à integração monolítica."
"MOSFET","Circuito Integrado","VIABILIZA","Tecnologia MOS tornou VLSI e memórias densas economicamente viáveis."
"Circuito Integrado","DRAM","VIABILIZA","Integração em escala permitiu células de memória densa com custo reduzido por bit."
"DRAM","Microprocessador","INFLUENCIA","Memória mais densa permitiu software mais complexo e arquiteturas mais ricas."
"Gordon Moore","Microprocessador","INFLUENCIA","Roadmap de densidade de transistores guiou evolução de desempenho de CPUs."
"Ted Hoff","Microprocessador","FEZ","Contribuiu para arquitetura do Intel 4004 e consolidação do CPU em chip único."
"Paul Baran","Comutação de Pacotes","FEZ","Propôs arquitetura distribuída de rede com resiliência a falhas."
"Donald Davies","Comutação de Pacotes","FEZ","Introduziu operacionalização prática de packet switching no NPL."
"Leonard Kleinrock","Comutação de Pacotes","INFLUENCIA","Modelagem por filas forneceu base quantitativa para redes de pacotes."
"Comutação de Pacotes","ARPANET NCP","VIABILIZA","Multiplexação estatística permitiu compartilhamento eficiente de enlaces."
"Paul Baran","ARPANET NCP","INFLUENCIA","Conceitos de rede distribuída e comutação de pacotes influenciaram arquiteturas de rede resilientes."
"Donald Davies","ARPANET NCP","INFLUENCIA","Operationalizou packet switching, influenciando desenho prático de redes de pacotes."
"Vinton Cerf","Protocolo TCP/IP","FEZ","Coautor de especificações de internetworking com princípio fim a fim e interoperabilidade entre redes."
"Bob Kahn","Protocolo TCP/IP","FEZ","Coautor da arquitetura de rede aberta que separa transporte e inter-rede para escalabilidade."
"Princípio End-to-End","Protocolo TCP/IP","INFLUENCIA","Distribuição correta de funções entre borda e núcleo favoreceu robustez e inovação."
"ARPANET NCP","Protocolo TCP/IP","EVOLUI_PARA","NCP não atendia bem interconexão entre redes heterogêneas; TCP/IP resolveu roteamento e interoperabilidade."
"Protocolo TCP/IP","World Wide Web","VIABILIZA","A Web depende de internetworking global estável e interoperável sobre TCP/IP."
"Tim Berners-Lee","World Wide Web","FEZ","Definiu arquitetura de hipertexto distribuído com URL/HTTP/HTML."
"John McCarthy","Modelo de Neurônio Artificial (Perceptron)","INFLUENCIA","Contexto da IA inicial fomentou busca por modelos de aprendizado automatizado."
"Frank Rosenblatt","Modelo de Neurônio Artificial (Perceptron)","FEZ","Introduziu modelo conexionista treinável para classificação."
"Modelo de Neurônio Artificial (Perceptron)","Retropropagação em Redes Neurais","INFLUENCIA","Limitações do perceptron motivaram métodos multicamada treináveis via gradiente."
"David Rumelhart","Retropropagação em Redes Neurais","FEZ","Coautor de artigo seminal que demonstrou aprendizado multicamada eficiente."
"Geoffrey Hinton","Retropropagação em Redes Neurais","FEZ","Coautor de trabalho seminal que demonstrou aprendizado eficiente em redes multicamadas."
"Sepp Hochreiter","LSTM","FEZ","Coautor da arquitetura para preservar memória de longo prazo em sequências."
"Jürgen Schmidhuber","LSTM","FEZ","Coautor de LSTM e contribuições para treinamento recorrente robusto."
"Retropropagação em Redes Neurais","LSTM","VIABILIZA","Treinamento por gradiente é base para ajuste de portas e estados de memória."
"Yann LeCun","Redes Convolucionais Modernas","FEZ","Aplicou aprendizado por gradiente em CNNs com resultados práticos robustos em reconhecimento."
"Retropropagação em Redes Neurais","Redes Convolucionais Modernas","INFLUENCIA","Treinamento por gradiente tornou viável ajustar filtros e camadas profundas em visão."
"Ian Goodfellow","GANs","FEZ","Introduziu formulação adversarial para modelagem generativa de alta fidelidade."
"GPU Programável","CUDA","VIABILIZA","Plataforma de software tornou hardware paralelo acessível para treinamento de IA."
"CUDA","Modelos Transformer em Larga Escala","VIABILIZA","Toolchain de paralelismo acelerou treino distribuído de modelos com bilhões de parâmetros."
"TPU","Modelos Transformer em Larga Escala","VIABILIZA","Aceleradores dedicados reduziram custo e tempo de treinamento em data centers."
"Ashish Vaswani","Mecanismo de Atenção","FEZ","Primeiro autor do paper que demonstrou atenção escalável e paralela sem recorrência."
"Mecanismo de Atenção","Arquitetura Transformer","FUNDAMENTA","Atenção multi-head e codificação posicional compõem o núcleo funcional do Transformer."
"LSTM","Mecanismo de Atenção","INFLUENCIA","Limitações de recorrência em paralelismo e alcance estimularam mecanismos de atenção."
"Arquitetura Transformer","Modelos Transformer em Larga Escala","EVOLUI_PARA","Escalonamento de parâmetros e dados ampliou desempenho emergente em tarefas de linguagem."
"Scaling Laws para LLMs","Modelos Transformer em Larga Escala","INFLUENCIA","Relações empíricas orientaram decisões de capacidade, dataset e compute."
"Modelos Transformer em Larga Escala","Modelos GPT","INFLUENCIA","Estratégias de pretreino generativo e ajuste instruído derivam da família Transformer."
"Alec Radford","Modelos GPT","FEZ","Liderou publicações iniciais que consolidaram série GPT."
"Ilya Sutskever","Modelos GPT","INFLUENCIA","Contribuiu para técnicas de treinamento e escala em modelos generativos."
"Noam Shazeer","Modelos Transformer em Larga Escala","INFLUENCIA","Arquiteturas eficientes como MoE ajudaram escalar capacidade efetiva com custo controlado."
"RLHF em Modelos de Linguagem","Modelos GPT","VIABILIZA","Feedback humano melhorou utilidade, seguimento de instruções e segurança em produção."
"Teoria da Informação","Retropropagação em Redes Neurais","INFLUENCIA","Conceitos de entropia e divergência influenciam funções de perda e análise de generalização."
"Máquina de Turing e Computabilidade","Arquitetura Transformer","INFLUENCIA","Noção de computação simbólica e algoritmos formais sustenta abstrações de modelos neurais programáveis."
